waktu,Demangan,Beringinharjo,Kranggan
02/09/2013,23800,23000,25000
03/09/2013,23800,23000,25000
04/09/2013,23800,23000,25000
05/09/2013,23800,23000,25000
06/09/2013,23800,23000,25000
09/09/2013,23800,23000,25000
10/09/2013,23800,23000,25000
11/09/2013,25800,25000,27000
12/09/2013,23800,23000,25000
13/09/2013,23800,23000,25000
16/09/2013,23800,23000,25000
17/09/2013,23800,23000,25000
18/09/2013,20800,20000,22000
19/09/2013,20800,20000,22000
20/09/2013,20800,20000,22000
23/09/2013,19800,19000,21000
24/09/2013,17800,17000,19000
25/09/2013,17800,17000,19000
26/09/2013,17800,17000,19000
27/09/2013,17800,17000,19000
30/09/2013,17800,17000,19000
01/11/2013,25800,25000,27000
04/11/2013,25800,25000,27000
05/11/2013,25800,25000,27000
06/11/2013,25800,25000,27000
07/11/2013,25800,25000,27000
08/11/2013,25800,25000,27000
11/11/2013,25800,25000,27000
12/11/2013,25800,25000,27000
13/11/2013,25800,25000,27000
14/11/2013,24800,24000,26000
15/11/2013,26133,25333,27333
18/11/2013,29800,29000,31000
19/11/2013,30800,30000,32000
20/11/2013,28800,28000,30000
21/11/2013,30800,30000,32000
22/11/2013,29800,29000,31000
25/11/2013,27800,27000,29000
26/11/2013,30800,30000,32000
27/11/2013,27800,27000,29000
28/11/2013,26800,26000,28000
29/11/2013,28800,28000,30000
02/12/2013,26800,26000,28000
03/12/2013,26800,26000,28000
04/12/2013,26800,26000,28000
05/12/2013,28800,28000,30000
06/12/2013,30133,29333,31333
09/12/2013,30800,30000,32000
10/12/2013,27800,27000,29000
11/12/2013,25466,24666,26666
12/12/2013,28800,28000,30000
13/12/2013,28800,28000,30000
16/12/2013,28800,28000,30000
17/12/2013,28800,28000,30000
18/12/2013,28800,28000,30000
19/12/2013,28800,28000,30000
20/12/2013,28800,28000,30000
23/12/2013,28800,28000,30000
24/12/2013,28800,28000,30000
25/12/2013,28800,28000,30000
26/12/2013,28800,28000,30000
27/12/2013,28800,28000,30000
30/12/2013,28800,28000,30000
31/12/2013,28800,28000,30000
01/01/2014,28800,28000,30000
02/01/2014,28800,28000,30000
03/01/2014,28800,28000,30000
06/01/2014,28800,28000,30000
07/01/2014,28800,28000,30000
08/01/2014,28800,28000,30000
09/01/2014,25800,25000,27000
10/01/2014,25800,25000,27000
13/01/2014,25800,25000,27000
15/01/2014,24800,24000,26000
16/01/2014,24800,24000,26000
17/01/2014,21800,21000,23000
20/01/2014,21800,21000,23000
21/01/2014,21800,21000,23000
22/01/2014,21800,21000,23000
23/01/2014,23800,23000,25000
24/01/2014,23800,23000,25000
27/01/2014,23800,23000,25000
28/01/2014,18800,18000,20000
29/01/2014,18800,18000,20000
30/01/2014,18800,18000,20000
31/01/2014,12800,12000,14000
03/02/2014,18800,18000,20000
04/02/2014,18800,18000,20000
05/02/2014,18800,18000,20000
06/02/2014,18800,18000,20000
07/02/2014,17800,17000,19000
10/02/2014,16800,16000,18000
11/02/2014,16800,16000,18000
12/02/2014,16800,16000,18000
13/02/2014,16800,16000,18000
14/02/2014,16800,16000,18000
17/02/2014,16800,16000,18000
18/02/2014,16800,16000,18000
19/02/2014,16800,16000,18000
20/02/2014,16800,16000,18000
21/02/2014,16800,16000,18000
24/02/2014,16800,16000,18000
25/02/2014,15800,15000,17000
26/02/2014,15800,15000,17000
27/02/2014,20800,20000,22000
28/02/2014,20800,20000,22000
03/03/2014,20800,20000,22000
04/03/2014,20800,20000,22000
05/03/2014,20800,20000,22000
06/03/2014,20800,20000,22000
07/03/2014,20800,20000,22000
10/03/2014,20800,20000,22000
11/03/2014,18800,18000,20000
12/03/2014,15800,15000,17000
13/03/2014,15800,15000,17000
14/03/2014,15800,15000,17000
17/03/2014,18800,18000,20000
18/03/2014,15800,15000,17000
19/03/2014,16800,16000,18000
20/03/2014,18800,18000,20000
21/03/2014,18800,18000,20000
24/03/2014,17800,17000,19000
25/03/2014,15800,15000,17000
26/03/2014,17800,17000,19000
27/03/2014,17800,17000,19000
28/03/2014,17800,17000,19000
31/03/2014,16800,16000,18000
01/04/2014,17800,17000,19000
02/04/2014,16800,16000,18000
03/04/2014,16800,16000,18000
04/04/2014,16800,16000,18000
07/04/2014,18800,18000,20000
08/04/2014,17800,17000,19000
09/04/2014,17800,17000,19000
10/04/2014,17800,17000,19000
11/04/2014,18800,18000,20000
14/04/2014,17800,17000,19000
15/04/2014,14800,14000,16000
16/04/2014,18800,18000,20000
17/04/2014,17800,17000,19000
18/04/2014,15800,15000,17000
21/04/2014,15800,15000,17000
22/04/2014,17800,17000,19000
23/04/2014,16800,16000,18000
24/04/2014,16800,16000,18000
25/04/2014,16800,16000,18000
28/04/2014,16800,16000,18000
29/04/2014,16800,16000,18000
30/04/2014,16800,16000,18000
01/05/2014,16800,16000,18000
02/05/2014,16800,16000,18000
05/05/2014,15800,15000,17000
06/05/2014,15800,15000,17000
07/05/2014,15800,15000,17000
08/05/2014,13800,13000,15000
09/05/2014,15800,15000,17000
12/05/2014,15800,15000,17000
13/05/2014,15800,15000,17000
14/05/2014,16800,16000,18000
15/05/2014,16800,16000,18000
16/05/2014,16800,16000,18000
19/05/2014,16800,16000,18000
20/05/2014,16800,16000,18000
21/05/2014,16800,16000,18000
22/05/2014,20800,20000,22000
23/05/2014,20800,20000,22000
26/05/2014,20800,20000,22000
27/05/2014,20800,20000,22000
28/05/2014,20800,20000,22000
29/05/2014,18800,18000,20000
30/05/2014,18800,18000,20000
02/06/2014,20800,20000,22000
03/06/2014,20800,20000,22000
04/06/2014,18800,18000,20000
05/06/2014,18800,18000,20000
06/06/2014,18800,18000,20000
09/06/2014,18800,18000,20000
10/06/2014,18800,18000,20000
11/06/2014,18800,18000,20000
12/06/2014,18800,18000,20000
13/06/2014,18800,18000,20000
16/06/2014,18800,18000,20000
17/06/2014,18800,18000,20000
18/06/2014,18800,18000,20000
19/06/2014,19800,19000,21000
